x,y,u,v,S
9.202065,16.741212,0.913471,0.001244,4.781681
9.686384,17.903021,0.961538,0.001152,4.723739
9.202065,17.276102,0.913423,0.000794,4.666514
9.686384,18.469744,0.961376,0.000811,4.609672
9.686384,18.851533,0.961156,0.000992,4.534937
10.185714,-18.565495,0.966464,0.000177,4.563940
9.722727,-17.447600,0.922681,-0.000153,4.619470
10.185714,-17.993425,0.966833,-0.000552,4.676030
9.722727,-16.905084,0.923132,-0.000726,4.733618
10.185714,-17.428892,0.967356,-0.000574,4.791976
10.185714,-17.056894,0.967641,-0.000191,4.870662
9.722727,-16.017406,0.923820,-0.000032,4.930365
10.185714,-16.505677,0.967967,0.000110,4.990672
9.722727,-15.495219,0.924135,0.000316,5.051856
10.185714,-15.962874,0.968404,0.000464,5.114160
10.185714,-15.605825,0.968885,0.000009,5.199070
9.722727,-14.643208,0.925209,-0.000672,5.263713
10.185714,-15.077688,0.969555,-0.001157,5.328471
10.185714,-14.730669,0.969821,-0.001387,5.415203
10.185714,-14.387792,0.970069,-0.001743,5.502910
9.722727,-13.490842,0.926176,-0.002003,5.569548
10.185714,-13.881398,0.970429,-0.002216,5.636313
10.185714,-13.549178,0.970516,-0.001950,5.725507
10.185714,-13.221328,0.970597,-0.001993,5.815492
10.185714,-12.897908,0.970691,-0.002291,5.906307
9.722727,-12.082770,0.926696,-0.002371,5.975291
10.185714,-12.421198,0.971003,-0.002731,6.044818
10.185714,-12.109075,0.971219,-0.003015,6.137913
10.185714,-11.801553,0.971452,-0.003114,6.231570
10.185714,-11.498673,0.971714,-0.002897,6.325775
10.185714,-11.200470,0.972073,-0.002594,6.420872
10.185714,-10.906980,0.972549,-0.002661,6.516919
10.185714,-10.618233,0.973015,-0.002875,6.612976
10.350000,-10.429811,0.989269,-0.003494,6.732667
10.185714,-9.917280,0.974032,-0.003967,6.851605
10.185714,-9.645319,0.974440,-0.004415,6.946529
10.185714,-9.378193,0.974793,-0.004494,7.040553
10.185714,-9.115914,0.975148,-0.004438,7.133949
10.350000,-8.937001,0.991355,-0.004512,7.249727
10.185714,-8.481459,0.976061,-0.004562,7.364031
10.350000,-8.307738,0.992249,-0.005092,7.476461
10.185714,-7.877353,0.976987,-0.005374,7.587540
10.350000,-7.709272,0.993245,-0.005294,7.696322
10.185714,-7.303485,0.978087,-0.004793,7.803846
10.350000,-7.141424,0.994494,-0.004306,7.908780
10.350000,-6.815285,0.995241,-0.003746,8.031146
10.350000,-6.499966,0.996071,-0.003402,8.150013
10.350000,-6.195357,0.996833,-0.002859,8.263909
10.350000,-5.901333,0.997623,-0.002358,8.373418
10.350000,-5.617750,0.998591,-0.001977,8.479671
10.434146,-5.343304,1.008054,-0.001232,8.599152
10.350000,-4.995732,1.001484,0.000060,8.714165
10.434146,-4.743538,1.011338,0.002086,8.823584
10.434146,-4.424618,1.013537,0.005585,8.942966
10.434146,-4.122307,1.016278,0.010894,9.059105
10.485294,-3.820277,1.025454,0.019894,9.190744
10.434146,-3.499528,1.026591,0.032726,9.332836
10.485294,-3.232069,1.041111,0.054183,9.501524
10.519672,-2.916869,1.058003,0.104226,9.738626
10.485294,-2.605284,1.061166,0.193376,9.983621
10.544366,-2.313533,1.037213,0.253099,9.890023
10.519672,-2.000172,1.000112,0.055428,9.354071
10.562963,-1.699261,1.125351,-0.238441,10.752028
10.544366,-1.384363,0.696843,-0.503793,8.085511
10.562963,-1.086624,0.609622,-0.503610,7.446621
10.562963,-0.770370,0.708863,-0.446580,7.910541
10.562963,-0.454321,0.623303,-0.336174,6.698183
10.544366,-0.157746,0.643673,-0.285732,6.678107
10.562963,0.138272,0.772161,-0.333180,7.960877
10.562963,0.454321,0.773982,-0.327827,7.950141
10.562963,0.770370,0.796435,-0.290599,8.004845
10.562963,1.086629,0.851675,-0.284096,8.454978
10.544366,1.384472,0.918905,-0.259507,8.978440
10.562963,1.699769,0.949936,-0.198000,9.069687
10.519672,2.001416,0.947213,-0.152069,8.958803
10.519672,2.285509,0.961156,-0.123068,9.001351
10.519672,2.591241,0.980485,-0.088969,9.087159
10.519672,2.922034,0.991167,-0.057857,9.093774
10.485294,3.238957,0.992979,-0.038456,9.055115
10.434146,3.507955,0.991262,-0.027149,9.008256
10.485294,3.830448,0.998504,-0.018897,8.946321
10.434146,4.134206,0.995354,-0.012524,8.869316
10.434146,4.438148,0.996347,-0.008450,8.787365
10.350000,4.679366,0.988822,-0.005975,8.705615
10.434146,5.010399,0.997191,-0.004371,8.615286
10.350000,5.273316,0.989482,-0.002789,8.518340
10.434146,5.636376,0.997789,-0.001184,8.413650
10.350000,5.921769,0.989736,0.000097,8.300132
